sr_no,year,country,region,artist,song,artist_gender,group_solo,place,points,home_away_country,home_away_region,is_final,semi_final_number,song_in_english,song_quality,normalized_points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,happiness,decade,is_winner,top_3,top_10
322,2012,Estonia,Former Socialist Bloc,Ott Lepland,Kuula,,,6,120,Away,Away,1,,0,2.71263556238091,0.0492610837438424,0.408968316895781,261.02966,0.34407409752983,0.303590118268098,128.579,0.0336076662379271,5.0,0.096149116540744,4.0,1.0,-8.071,0.0863318830388434,5.45870967742,2010,False,False,True
323,2012,France,Western Europe,Anggun,Echo (You and I),,,22,21,Away,Away,1,,1,0.624545805081346,0.00862068965517241,0.770681820593703,183.55048,0.017490754213134,0.586462665344015,137.004,0.0308941831505556,10.0,0.119378225403716,4.0,1.0,-5.409,0.528575582118506,5.30607594937,2010,False,False,False
324,2012,Germany,Former Socialist Bloc,Roman Lob,Standing Still,,,8,110,Away,Home,1,,1,2.90552633082801,0.0451559934318555,0.718939166750147,205.85333,0.0189975993616442,0.540343255519315,107.967,0.032640088249888,10.0,0.0797961266980449,4.0,1.0,-5.999,0.312003178422428,5.46202898551,2010,False,False,True
325,2012,Greece,Western Europe,Eleftheria Eleftheriou,Aphrodisiac,,,17,64,Away,Home,1,,1,1.25461820574448,0.0262725779967159,0.90293375196018,179.60599,0.0070112051271458,0.636466229822884,109.991,0.0360232629896942,4.0,0.326391955606821,4.0,0.0,-3.323,0.742565988414697,5.4739869281,2010,False,False,False
326,2012,Hungary,Western Europe,Compact Disco,Sound Of Our Hearts,,,24,19,Away,Away,1,,1,0.307932529109924,0.00779967159277504,0.822859222542108,180.01333,0.00930913011465518,0.445287018215174,80.024,0.0355630333336002,2.0,0.131495018454989,4.0,1.0,-4.677,0.425003021815087,5.37985507246,2010,False,False,False
327,2012,Iceland,Scandinavia,Greta Sal‹me & J‹nsi,Never Forget,,,20,46,Away,Away,1,,1,1.0061006092675,0.0188834154351396,0.72379803265742,180.66576,0.0266058168218934,0.55979692048543,101.299,0.0284231838989769,5.0,0.0481894244151075,3.0,0.0,-4.132,0.720966885845327,,2010,False,False,False
328,2012,Ireland,Scandinavia,Jedward,Waterline,,,19,46,Away,Home,1,,1,1.16718859592217,0.0188834154351396,0.450955409260997,185.34354,0.0921558737030397,0.629734434504693,144.044,0.0394651223919967,10.0,0.0398309254007369,3.0,1.0,-16.252,0.39201521154446,5.2877027027,2010,False,False,False
329,2012,Italy,Western Europe,Nina Zilli,L'amore  femmina (Out of Love),,,9,101,Away,Away,1,,1,2.25602806215161,0.0414614121510673,0.463781606162001,30.14399,0.0125754065764221,0.688501105416639,105.152,0.0407486793721838,8.0,0.303028437916168,3.0,0.0,-14.38,0.720613625349471,5.24805263158,2010,False,False,True
330,2012,Lithuania,Former Socialist Bloc,Donny Montell,Love Is Blind,,,14,70,Away,Away,1,,1,1.487658636623,0.028735632183908,0.553402278401139,183.99166,0.386604174436922,0.45108522526619,124.09,0.0501503445579107,3.0,0.115215005282941,4.0,0.0,-7.872,0.453867426653113,5.47173553719,2010,False,False,False
331,2012,Macedonia,Former Socialist Bloc,Kaliopi,Crno I Belo,,,13,71,Away,Home,1,,0,1.57724825853228,0.0291461412151067,0.561371722207179,180.36354,0.454026917823795,0.654112941133483,130.009,0.0386464484272558,2.0,0.103005610440774,4.0,0.0,-10.38,0.0560074680161111,5.397,2010,False,False,False
